title,author,category,price,publicationYear,description,imageUrl
Cây Cam Ngọt Của Tôi,José Mauro de Vasconcelos,Tiểu Thuyết,64800,2000,,https://salt.tikicdn.com/ts/product/5e/18/24/2a6154ba08df6ce6161c13f4303fa19e.jpg
Hành Tinh Của Một Kẻ Nghĩ Nhiều,Nguyễn Đoàn Minh Thư,Sách tư duy - Kỹ năng sống,59900,2000,,https://salt.tikicdn.com/ts/product/d7/99/24/17bff8d26027846b2d7478ad4ba83fea.jpg
Những Tù Nhân Của Địa Lý,Tim Marshall,Lĩnh vực khác,126000,2000,,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg
Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,Tác phẩm kinh điển,47400,2000,,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,Truyện ngắn - Tản văn - Tạp Văn,63000,2000,,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg
Thao Túng Tâm Lý,Shannon Thomas,Sách tư duy - Kỹ năng sống,103000,2000,,https://salt.tikicdn.com/ts/product/90/49/97/ec88ab408c1997378344486c94dbac40.jpg
Thư Viện Nửa Đêm,Matt Haig,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,90000,2000,,https://salt.tikicdn.com/ts/product/8e/32/3d/e4487c4c7e335bbda4f06dd54d8e35b8.jpg
Những Tù Nhân Của Địa Lý,Tim Marshall,Lĩnh vực khác,126000,2000,,https://salt.tikicdn.com/ts/product/8d/96/9e/c0c1f23db756d50b1944dff9c3988753.jpg
Không Phải Sói Nhưng Cũng Đừng Là Cừu ,Lê Bảo Ngọc,Sách tư duy - Kỹ năng sống,96000,2000,,https://salt.tikicdn.com/ts/product/5b/96/23/348b84ca8e0d0b49bf9c8d9595336e69.jpg
Càng Bình Tĩnh Càng Hạnh Phúc,Vãn Tình,Sách tư duy - Kỹ năng sống,85180,2000,,https://salt.tikicdn.com/ts/product/ca/b9/76/3496cc7fd438e19e0a5732cba25e0aee.png
Yêu Những Điều Không Hoàn Hảo,Hae Min,Truyện ngắn - Tản văn - Tạp Văn,83400,2000,,https://salt.tikicdn.com/ts/product/54/55/d6/4ceb6ba3bd81614df8ff4c1411b11f59.jpg
Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,Sách kinh tế học,221000,2000,,https://salt.tikicdn.com/ts/product/6c/87/e7/db72a8050a15d86d8102cd21ab1d8b11.jpg
Chiến Binh Cầu Vồng (Tái Bản 2020),Andrea Hirata,Tiểu Thuyết,65400,2000,,https://salt.tikicdn.com/ts/product/a1/ef/4f/0b39e40dca3827604c8bc4e867cc9423.jpg
"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",Cao Minh,Truyện ngắn - Tản văn - Tạp Văn,115001,2000,,https://salt.tikicdn.com/ts/product/38/bb/4b/5f03392a2fb98bc19b63de688b2ad218.jpg
How Psychology Works - Hiểu Hết Về Tâm Lý Học,Jo Hemmings,Sách tư duy - Kỹ năng sống,180000,2000,,https://salt.tikicdn.com/ts/product/2b/84/ff/cb34637573525a998596b58d6939411e.jpg
Một Thoáng Ta Rực Rỡ Ở Nhân Gian,,Tiểu Thuyết,81000,2000,,https://salt.tikicdn.com/ts/product/2f/b5/4e/a8208e9019c8510e8a8eebe06f50299c.jpg
Đại Dương Đen - Những Câu Chuyện Từ Thế Giới Của Trầm Cảm,Đặng Hoàng Giang,Truyện ngắn - Tản văn - Tạp Văn,144000,2000,,https://salt.tikicdn.com/ts/product/f7/fb/9a/e8b9a94478dc887c4b84b6b6439f6335.jpg
Cú Săn Đêm,Samuel Bjork,Tiểu Thuyết,113900,2000,,https://salt.tikicdn.com/ts/product/45/6c/b1/1d809c7be82ee19ca6b7ddcb18a494bc.jpg
Vị Thần Của Những Quyết Định,Universe,Sách Chiêm Tinh - Horoscope,55100,2000,,https://salt.tikicdn.com/ts/product/0c/49/5f/751b9c711c12def9beb2a3bbc3290d77.jpg
Hoàng Tử Bé (Tái Bản 2019),Antoine De Saint-Exupéry,Truyện kể cho bé,45000,2000,,https://salt.tikicdn.com/ts/product/5c/e7/68/26838e18d7f96d562d828980520019d2.jpg
Bước Chậm Lại Giữa Thế Gian Vội Vã (Tái Bản),Hae Min,Truyện ngắn - Tản văn - Tạp Văn,51000,2000,,https://salt.tikicdn.com/ts/product/7a/18/8e/2f70de3ea7eec9c34f55e402254e27ed.jpg
Nhà Giả Kim (Tái Bản 2020),Paulo Coelho,Tác phẩm kinh điển,47400,2000,,https://salt.tikicdn.com/ts/product/45/3b/fc/aa81d0a534b45706ae1eee1e344e80d9.jpg
Totto - Chan Bên Cửa Sổ (Tái Bản),Kuroyanagi Tetsuko,Truyện dài,58800,2000,,https://salt.tikicdn.com/ts/product/24/39/01/1718d16b33315c03026cee717adad4b3.jpg
Những Người Khốn Khổ (Boxet 2 Tập),Victor Hugo,Tác phẩm kinh điển,399000,2000,,https://salt.tikicdn.com/ts/product/16/63/e2/b9e75fdf59ba03521829dfe7e2f2034b.jpg
Trăm Năm Cô Đơn,Gabriel Garcia Marquez,Truyện ngắn - Tản văn - Tạp Văn,101400,2000,,https://salt.tikicdn.com/ts/product/37/3b/5d/5efd681d48d5a81e3e6675121e69d38d.jpg
Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,Tác phẩm kinh điển,77400,2000,,https://salt.tikicdn.com/ts/product/36/48/39/2ef073f6a40a268deb12ecc35a6b1145.jpg
